('说', 2183683) 0
('技师', 1072169) 1
('车主', 1037976) 2
('不', 212981) 3
('好', 146202) 4
('都', 138844) 5
('你好', 133678) 6
('故障', 124789) 7
('发动机', 118353) 8
('换', 116347) 9
('检查', 111251) 10
('会', 106143) 11
('更换', 99093) 12
('车', 96290) 13
('没', 86203) 14
('情况', 83781) 15
('机油', 80765) 16
('看', 70539) 17
('去', 70043) 18
('谢谢', 68265) 19
('一个', 61572) 20
('电脑', 60686) 21
('声音', 57359) 22
('传感器', 54531) 23
('变速箱', 54234) 24
('后', 53431) 25
('有没有', 51656) 26
('清洗', 51140) 27
('下', 51133) 28
('上', 51064) 29
('建议', 48647) 30
('是不是', 47952) 31
('检查一下', 47939) 32
('启动', 46545) 33
('节气门', 45554) 34
('影响', 45065) 35
('大', 44109) 36
('码', 43302) 37
('还', 43238) 38
('车子', 42624) 39
('跑', 42028) 40
('油', 40278) 41
('公里', 39411) 42
('做', 36868) 43
('火花塞', 36550) 44
('师傅', 36256) 45
('车辆', 36113) 46
('请问', 35944) 47
('位置', 35175) 48
('再', 35120) 49
('开', 35056) 50
('很', 34969) 51
('原因', 33917) 52
('感觉', 33577) 53
('时', 33118) 54
('行驶', 32044) 55
('保养', 31826) 56
('年', 31288) 57
('才', 30139) 58
('维修', 29740) 59
('先', 29020) 60
('线路', 28641) 61
('客气', 28264) 62
('轮胎', 28168) 63
('怠速', 28144) 64
('4s店', 28137) 65
('不好', 28100) 66
('您好', 28088) 67
('电瓶', 27653) 68
('拆', 27468) 69
('导致', 27220) 70
('刹车', 27165) 71
('坏', 26697) 72
('开关', 26506) 73
('修理厂', 26082) 74
('压力', 25977) 75
('款', 25613) 76
('点火', 25565) 77
('抖动', 25092) 78
('钱', 24263) 79
('检测', 23893) 80
('新', 23826) 81
('钥匙', 23749) 82
('地方', 23618) 83
('大师', 23549) 84
('灯', 23375) 85
('汽油', 23178) 86
('系统', 22395) 87
('熄火', 21813) 88
('显示', 21360) 89
('大概', 21342) 90
('不行', 21226) 91
('两个', 20959) 92
('空调', 20821) 93
('档', 20525) 94
('加', 20468) 95
('高', 20369) 96
('万公里', 20192) 97
('插头', 20047) 98
('', 19934) 99
('缸', 19893) 100
('买', 19879) 101
('关系', 19816) 102
('想', 19769) 103
('找', 19427) 104
('匹配', 19308) 105
('线', 19302) 106
('打开', 19301) 107
('解决', 19287) 108
('控制', 19190) 109
('一点', 19149) 110
('喷油嘴', 18992) 111
('试试', 18889) 112
('这是', 18851) 113
('工作', 18352) 114
('加油', 18223) 115
('现象', 18127) 116
('2', 18077) 117
('肯定', 17818) 118
('踩', 17686) 119
('转', 17434) 120
('挂', 17384) 121
('水温', 17365) 122
('离合器', 17187) 123
('不用', 17081) 124
('汽车', 16867) 125
('异响', 16744) 126
('方向盘', 16716) 127
('响', 16648) 128
('不了', 16589) 129
('怎么回事', 16534) 130
('皮带', 16280) 131
('仪表', 16203) 132
('油耗', 16081) 133
('没事', 16027) 134
('东西', 16020) 135
('气门', 16001) 136
('亮', 15820) 137
('自动', 15784) 138
('螺丝', 15766) 139
('.', 15645) 140
('时间', 15625) 141
('3', 15521) 142
('只能', 15306) 143
('问', 15267) 144
('1', 15203) 145
('转速', 15153) 146
('模块', 15109) 147
('4S店', 15091) 148
('积碳', 14950) 149
('油门', 14719) 150
('损坏', 14627) 151
('原厂', 14411) 152
('价格', 14316) 153
('防冻液', 14267) 154
('方向', 14198) 155
('数据', 13948) 156
('4', 13823) 157
('小', 13656) 158
('高速', 13639) 159
('点', 13547) 160
('中', 13526) 161
('进气', 13378) 162
('安装', 13376) 163
('发现', 13362) 164
('冷车', 13288) 165
('信号', 13267) 166
('修', 13117) 167
('空气', 13028) 168
('拆下来', 12994) 169
('保险', 12975) 170
('水箱', 12958) 171
('线圈', 12733) 172
('门', 12635) 173
('底盘', 12592) 174
('新车', 12568) 175
('动力', 12508) 176
('出', 12507) 177
('5', 12506) 178
('前', 12352) 179
('定位', 11968) 180
('油泵', 11928) 181
('凸轮轴', 11920) 182
('明天', 11920) 183
('电机', 11819) 184
('测量', 11795) 185
('不到', 11780) 186
('温度', 11717) 187
('店', 11693) 188
('离合', 11590) 189
('外面', 11438) 190
('正时', 11433) 191
('刹车片', 11406) 192
('这款', 11368) 193
('磨损', 11331) 194
('保险丝', 11276) 195
('泵', 11246) 196
('轴承', 11195) 197
('三元催化', 11126) 198
('正', 11124) 199
('电磁阀', 11061) 200
('氧', 11058) 201
('曲轴', 11030) 202
('好像', 10992) 203
